product_id,product_name,aisle_id,department_id,aisle,department,order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order,add_to_cart_order,reordered
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,3139998,138,prior,28,6,11,3.0,5,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1977647,138,prior,30,6,17,20.0,1,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,389851,709,prior,2,0,21,6.0,20,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,652770,764,prior,1,3,13,,10,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1813452,764,prior,3,4,17,9.0,11,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1701441,777,prior,16,1,7,26.0,7,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1871483,825,prior,3,2,14,30.0,2,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1290456,910,prior,12,3,10,30.0,1,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,369558,1052,prior,10,1,20,19.0,1,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,589712,1052,prior,15,1,12,15.0,2,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1798115,1379,prior,1,5,11,,1,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,497193,1480,prior,36,3,13,7.0,1,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1727826,1480,prior,38,4,13,7.0,3,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2694698,1480,prior,39,2,12,12.0,4,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,3171753,1494,prior,6,3,10,2.0,8,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,186761,1494,prior,7,2,8,6.0,18,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,317121,1494,prior,9,5,8,10.0,12,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,200390,1540,prior,4,2,0,7.0,10,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,374436,1540,prior,5,1,21,6.0,9,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2920553,1540,prior,6,1,0,14.0,9,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2813049,1540,prior,7,2,2,8.0,7,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2365998,1540,prior,8,1,23,6.0,6,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1604797,1540,prior,9,1,3,28.0,6,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2799665,1540,prior,14,1,14,7.0,10,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2228851,1540,prior,15,1,14,7.0,3,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2337422,1540,prior,18,0,21,0.0,5,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2699008,1540,prior,19,0,22,7.0,11,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1914830,1540,prior,20,0,22,7.0,11,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,783503,1540,prior,21,0,20,7.0,5,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2500516,1540,prior,22,0,22,7.0,15,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,716845,1540,prior,24,4,22,3.0,4,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1955535,1540,prior,25,6,19,16.0,6,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1424793,1540,prior,27,1,1,5.0,1,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,749498,1540,prior,28,0,21,6.0,1,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2434812,1598,prior,1,2,12,,2,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1531889,1598,prior,2,2,10,21.0,2,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,726947,1598,prior,3,4,17,2.0,3,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,627615,1647,prior,1,1,9,,1,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2507439,1647,prior,4,0,13,18.0,6,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1152609,1647,prior,6,1,9,8.0,3,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1048339,1647,prior,8,0,17,30.0,10,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2818381,1647,prior,9,4,15,25.0,1,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2722928,2833,prior,1,0,14,,12,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1482338,2850,prior,7,1,16,9.0,10,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2311344,2857,prior,24,1,8,10.0,5,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,812943,3010,prior,5,3,10,7.0,11,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,256839,3029,prior,1,2,20,,8,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2192488,3395,prior,4,2,10,30.0,7,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,207661,3904,prior,1,1,14,,2,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1394659,4006,prior,2,1,10,7.0,8,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2353526,4006,prior,3,1,10,7.0,2,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2269226,4006,prior,5,3,13,7.0,6,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,367316,4006,prior,9,2,11,5.0,3,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1448367,4006,prior,12,1,11,4.0,2,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,19989,4122,prior,11,2,7,8.0,1,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2735922,4141,prior,2,0,8,30.0,2,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2469422,4343,prior,1,1,16,,9,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,3185558,4553,prior,3,5,16,29.0,1,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,350540,4845,prior,6,0,13,12.0,7,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,513100,6866,prior,1,4,15,,11,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2081405,7275,prior,5,2,23,4.0,6,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2209807,7669,prior,3,3,15,5.0,5,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,921798,7669,prior,4,1,17,5.0,6,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2540226,7669,prior,20,1,8,13.0,3,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2265792,7981,prior,9,2,15,10.0,2,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,3357714,7981,prior,13,0,23,6.0,1,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1186573,7981,prior,14,2,23,9.0,1,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,3209740,7981,prior,24,2,13,6.0,2,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,138748,7981,prior,30,3,16,8.0,2,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2027157,8703,prior,34,4,13,1.0,13,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,3052954,8723,prior,4,3,10,7.0,2,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1486756,8735,prior,8,4,11,21.0,2,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,632514,9293,prior,2,0,12,30.0,2,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1253470,9293,prior,3,3,13,30.0,1,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,837303,9467,prior,1,0,17,,11,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2734881,9694,prior,2,0,17,30.0,3,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2164394,9694,prior,4,4,18,8.0,2,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,3354551,9694,prior,5,4,15,7.0,1,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1381165,9694,prior,6,4,21,14.0,2,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2809438,9694,prior,7,4,18,28.0,1,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,425352,9694,prior,10,4,7,16.0,4,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2453441,9694,prior,14,4,22,1.0,1,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1189695,9694,prior,15,4,16,14.0,1,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1759231,9694,prior,16,4,15,7.0,2,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,482648,9694,prior,20,4,13,8.0,1,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2201348,9694,prior,22,4,14,16.0,7,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,3351592,9848,prior,17,4,18,8.0,16,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2164672,10113,prior,6,4,18,14.0,5,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1526735,10315,prior,1,0,16,,2,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2057892,10479,prior,22,1,16,8.0,8,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,356685,10708,prior,4,2,14,14.0,15,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,1592736,10708,prior,8,2,14,14.0,9,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,3125810,10789,prior,10,0,21,10.0,1,0
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,846661,10789,prior,11,0,19,14.0,4,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,2363761,10789,prior,16,2,16,4.0,2,1
1,Chocolate Sandwich Cookies,61,19,cookies cakes,snacks,602103,10831,prior,8,3,11,23.0,5,0
